,horizon,mse,rmse,mae,mdape,smape,coverage
218,401 days,0.8927853305866872,0.9448731822772235,0.7374940073169981,0.022294155636823333,0.027415454032588656,0.8931506849315068
219,402 days,0.8893757758790631,0.9430672170524554,0.7358773494178799,0.02202983597370732,0.027368608488254217,0.8945205479452055
220,403 days,0.8878195261897892,0.9422417557027438,0.7352675256785997,0.02202983597370732,0.027360348727874073,0.8963470319634703
221,404 days,0.8854587853175236,0.9409881961626956,0.7340412456088108,0.022013375852796897,0.027329090775685884,0.8986301369863013
222,405 days,0.8807841513343229,0.9385010129639301,0.7312674389699825,0.021889722901858824,0.02724499269477366,0.9004566210045662
223,406 days,0.8835270071611094,0.939961173219995,0.7295929269557281,0.021492577144984485,0.02720608873954708,0.9027397260273973
224,407 days,0.8914845072576207,0.9441845726644874,0.7307874035003968,0.021492577144984485,0.027271615695333894,0.9045662100456621
225,408 days,0.9047871888523183,0.9512030218898163,0.7326657250442202,0.021477921620464788,0.02736568626430895,0.9059360730593607
226,409 days,0.9098772999831692,0.9538748869653553,0.7326753185798042,0.021451020683846043,0.027384058208228267,0.906392694063927
227,410 days,0.9196995326371828,0.959009662431606,0.7342989277454773,0.021451020683846043,0.027459533219690035,0.9059360730593607
228,411 days,0.9237653032749521,0.9611271004788867,0.7355963506216074,0.021477921620464788,0.02751828356830542,0.9059360730593607
229,412 days,0.9256263813608269,0.9620947881372328,0.7358479127775621,0.021477921620464788,0.027535654379612567,0.9059360730593607
230,413 days,0.92750776905685,0.9630720476978085,0.7375232869373111,0.021700240548996233,0.027602716807819325,0.9059360730593607
231,414 days,0.9294177263792555,0.9640631340214475,0.7383920539274328,0.021749857596579502,0.02763980869905117,0.9073059360730593
232,415 days,0.9314376788236283,0.965110189990567,0.7390604845139813,0.021749857596579502,0.02767109017511638,0.9077625570776255
233,416 days,0.9340937009521707,0.9664852305918444,0.7407463209442627,0.021958246381348932,0.02773947004254732,0.9082191780821918
234,417 days,0.9370367171478249,0.9680065687524155,0.7425090616677414,0.021991060113675673,0.027809305357412977,0.908675799086758
235,418 days,0.9331922743782993,0.9660187753756649,0.7407029772500783,0.021756177813120395,0.0277448990145657,0.9100456621004567
